player_id,player_name,Attack,Attacking Midfield,Central Midfield,Centre-Back,Centre-Forward,Defender,Defensive Midfield,Goalkeeper,Left Midfield,Left Winger,Left-Back,Right Midfield,Right Winger,Right-Back,Second Striker,Sweeper,midfield
598387,Julian Bakker,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598399,Marius Mouandilmadji,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
598437,Kirill Kislitsin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598439,Vasiliy Lunev,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
598479,Yan Gudkov,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
598480,Viktor Khugaev,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
598484,Mikhail Naumov,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
598511,Aleksandr Korenblyum,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
598512,Dmitriy Motlakhov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598513,Mikhail Sevastjanov,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
598516,Vsevolod Fedorov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598518,Seyid Yildiz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
598542,Pedro Machado,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
598577,Florian Wirtz,0,71,3,0,9,0,0,0,0,5,0,0,5,0,0,0,0
598584,Edin Bibuljica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598588,Barry Eley,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
598589,Paul McGeouch,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598602,Sergey Mikhailov,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598603,Aleksey Sergienko,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598604,Aleksey Bartsov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598608,Sergi García,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
598629,Bruno Duarte,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
598635,Augusto,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
598645,Diamant Berisha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598667,Anton Petrov,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
598672,Anton Smirnov,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598673,Vasiliy Chizhikov,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
598674,Ilya Gruznov,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
598677,Daniil Matveev,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
598678,Fedor Moiseev,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598682,Kirill Gordeev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
598683,Igor Zheludkov,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
598684,Andrey Nikitin,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0
598689,Nikita Pshenichnikov,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
598690,Nikita Reshetnyak,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
598692,Ivan Belyaev,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598693,Anton Mankos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
598694,Maksim Melnichenko,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
598695,Maksim Oblokulov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
