competition_name,name,club_id,year,cup_image_url
ukrainian-super-cup,Futbolniy Klub Dynamo Kyiv,338,2019,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2020,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
copa-del-rey,Club Atlético de Madrid S.A.D.,13,2013,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
uefa-champions-league,Real Madrid Club de Fútbol,418,2018,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
fa-cup,Liverpool Football Club,31,2022,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
supercoppa-italiana,Football Club Internazionale Milano S.p.A.,46,2023,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
uefa-conference-league,Olympiakos Syndesmos Filathlon Peiraios,683,2024,https://tmssl.akamaized.net//images/erfolge/fix/856.png?lm=1639997104
russian-cup,AO FK Zenit Sankt-Peterburg,964,2024,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2025,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
europa-league,Atalanta Bergamasca Calcio S.p.a.,800,2024,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
sydbank-pokalen,Esbjerg fB,3426,2013,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
uefa-super-cup,Futbol Club Barcelona,131,2015,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
