competition_name,name,club_id,year,cup_image_url
kypello-elladas,Olympiakos Syndesmos Filathlon Peiraios,683,2015,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
uefa-champions-league,Futbol Club Barcelona,131,2015,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
russian-cup,AO FK Zenit Sankt-Peterburg,964,2016,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
ukrainian-cup,FC Shakhtar Donetsk,660,2017,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
fa-cup,Arsenal Football Club,11,2014,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
community-shield,Arsenal Football Club,11,2015,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
sydbank-pokalen,Fodbold Club Midtjylland,865,2019,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
sfa-cup,Saint Johnstone Football Club,2578,2021,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
ukrainian-super-cup,FC Shakhtar Donetsk,660,2021,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
supertaca-candido-de-oliveira,Sporting Clube de Portugal,336,2015,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
copa-del-rey,Real Sociedad de Fútbol S.A.D.,681,2021,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
supercoppa-italiana,Associazione Calcio Milan,5,2025,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
russian-super-cup,PFK CSKA Moskva,2410,2013,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
allianz-cup,Sport Lisboa e Benfica,294,2014,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
dfb-pokal,Verein für Leibesübungen Wolfsburg,82,2015,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
sfa-cup,Inverness Caledonian Thistle FC,2451,2015,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
europa-league,Sevilla Fútbol Club S.A.D.,368,2023,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
supercopa,Futbol Club Barcelona,131,2025,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
europa-league,Sevilla Fútbol Club S.A.D.,368,2014,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
italy-cup,Juventus Football Club,506,2017,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
community-shield,Manchester City Football Club,281,2012,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
russian-super-cup,FC Rubin Kazan,2698,2012,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
community-shield,Manchester City Football Club,281,2018,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2019,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
supercoppa-italiana,Società Sportiva Lazio S.p.A.,398,2019,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
italy-cup,Società Sportiva Calcio Napoli,6195,2020,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
supercopa,Athletic Club Bilbao,621,2021,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
allianz-cup,Sporting Clube de Portugal,336,2019,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
toto-knvb-beker,Feyenoord Rotterdam,234,2024,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
russian-cup,FC Tosno (-2018),40426,2018,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
johan-cruijff-schaal,AFC Ajax Amsterdam,610,2019,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
allianz-cup,Sporting Clube de Portugal,336,2021,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
fifa-klub-wm,Liverpool Football Club,31,2019,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
allianz-cup,Sporting Clube de Braga,1075,2013,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
uefa-super-cup,Chelsea Football Club,631,2021,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
sfa-cup,Rangers Football Club,124,2022,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
uefa-champions-league,Manchester City Football Club,281,2023,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
italy-cup,Juventus Football Club,506,2024,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
johan-cruijff-schaal,AFC Ajax Amsterdam,610,2013,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
dfl-supercup,Borussia Dortmund,16,2013,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
sfa-cup,Saint Johnstone Football Club,2578,2014,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
copa-del-rey,Futbol Club Barcelona,131,2015,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
kypello-elladas,Athlitiki Enosi Konstantinoupoleos,2441,2023,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
uefa-champions-league,Real Madrid Club de Fútbol,418,2024,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
allianz-cup,Sport Lisboa e Benfica,294,2025,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2015,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
ukrainian-super-cup,Futbolniy Klub Dynamo Kyiv,338,2016,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2016,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
russian-cup,"Футбольный клуб ""Локомотив"" Москва",932,2017,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
supertaca-candido-de-oliveira,Sport Lisboa e Benfica,294,2017,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
ukrainian-super-cup,FC Shakhtar Donetsk,660,2017,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
uefa-super-cup,Club Atlético de Madrid S.A.D.,13,2012,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
ukrainian-super-cup,FC Shakhtar Donetsk,660,2012,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
italy-cup,Società Sportiva Lazio S.p.A.,398,2013,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
italy-cup,Juventus Football Club,506,2018,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
fa-cup,Chelsea Football Club,631,2018,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
europa-league,Sevilla Fútbol Club S.A.D.,368,2016,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
supercopa,Futbol Club Barcelona,131,2018,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
copa-del-rey,Futbol Club Barcelona,131,2018,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
fifa-klub-wm,Futbol Club Barcelona,131,2015,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
kypello-elladas,Olympiakos Syndesmos Filathlon Peiraios,683,2020,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
russian-cup,"Футбольный клуб ""Локомотив"" Москва",932,2021,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
dfb-pokal,Borussia Dortmund,16,2021,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
sydbank-pokalen,Football Club København,190,2023,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
sfa-cup,Hibernian Football Club,903,2016,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
dfl-supercup,FC Bayern München,27,2016,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
dfl-supercup,FC Bayern München,27,2017,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
toto-knvb-beker,Feyenoord Rotterdam,234,2018,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
fa-cup,Arsenal Football Club,11,2015,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
ukrainian-cup,FC Shakhtar Donetsk,660,2019,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
sydbank-pokalen,Sønderjyske Fodbold,5817,2020,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
community-shield,Leicester City Football Club,1003,2021,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
sfa-cup,The Celtic Football Club,371,2023,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
sydbank-pokalen,Silkeborg Idrætsforening,1177,2024,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
kypello-elladas,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1091,2021,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
kypello-elladas,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1091,2019,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
dfb-pokal,FC Bayern München,27,2020,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
supercoppa-italiana,Juventus Football Club,506,2013,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
russian-super-cup,PFK CSKA Moskva,2410,2014,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
