player_id,name,goals,assists,yellow_cards,red_cards,minutes
3170.0,Simon Cziommer,4,9,10,0,7200
3172.0,Quique de Lucas,5,0,2,0,2520
3176.0,Eidur Gudjohnsen,11,4,2,1,3870
3178.0,0,3,2,0,0,0
3179.0,Carlton Cole,11,5,6,1,7740
3182.0,Ashley Cole,2,7,12,0,8010
3195.0,Jermaine Pennant,1,0,1,0,810
3201.0,Stathis Tavlaridis,8,2,44,0,9360
3202.0,Kolo Touré,2,3,8,0,8550
3216.0,Milan Baros,3,2,1,1,1170
3221.0,0,1,1,0,0,0
3226.0,Nicolas Anelka,2,0,0,0,1350
3235.0,Rio Ferdinand,1,2,7,0,6120
3256.0,Roberto Hilbert,5,13,25,0,9900
3259.0,Damien Duff,3,11,1,0,4500
3260.0,0,1,1,0,0,0
3266.0,Jérémie Aliadière,24,17,4,0,6390
3269.0,Calvin Zola,6,4,1,0,1890
3270.0,Joseph Yobo,1,0,1,0,3960
3273.0,Matthew Upson,2,0,0,0,630
3276.0,Shola Ameobi,6,7,10,0,5850
3291.0,Gareth Barry,9,16,57,0,19620
3292.0,Joey Barton,3,6,27,1,7290
3296.0,Paul Konchesky,1,2,6,1,2520
3297.0,Craig Bellamy,2,1,3,0,1980
3306.0,Jonathan Walters,36,14,22,1,14850
3322.0,Ben Williams,1,0,1,0,7470
3332.0,Wayne Rooney,84,60,40,1,20160
3333.0,James Milner,39,70,69,1,41130
3354.0,Jonathan Blondel,3,1,10,0,2430
3366.0,Kaká,14,12,6,0,5760
3373.0,0,2,0,0,0,0
3375.0,0,1,0,0,0,0
3391.0,Markus Neumayr,6,11,3,0,1980
3397.0,Paul Scholes,1,1,10,0,1890
3405.0,Wes Brown,2,2,7,4,5310
3406.0,Ryan Giggs,3,9,3,0,4590
3413.0,Rodrigo Tello,4,13,9,0,4230
3417.0,Nicolás Burdisso,1,3,43,0,12780
3441.0,Timmy Simons,21,6,16,1,16470
3455.0,Zlatan Ibrahimović,197,81,42,4,25470
3458.0,Lomana LuaLua,18,15,7,0,7650
3461.0,Jermaine Jenas,2,0,1,0,1170
3463.0,0,1,0,0,0,0
3464.0,0,1,0,0,0,0
3467.0,Shaun Wright-Phillips,1,1,0,0,2250
3480.0,Hugo Viana,8,3,8,0,3600
3490.0,0,1,0,0,0,0
3507.0,Christian Abbiati,1,0,7,1,8460
3515.0,Mark van Bommel,8,4,11,0,3150
3525.0,Sylvain Armand,3,2,11,1,11070
3530.0,Jan Polak,1,3,8,0,4590
3531.0,Robert Vittek,10,3,1,0,540
3536.0,0,3,1,0,0,0
3540.0,John O'Shea,5,4,16,1,15120
3547.0,Darren Fletcher,8,8,6,0,14130
3548.0,Kieran Richardson,6,7,14,1,7830
3551.0,0,1,0,0,0,0
3553.0,0,1,0,0,0,0
3569.0,Steed Malbranque,7,13,13,0,11790
3573.0,Julien Escudé,2,0,4,0,2430
3580.0,Aaron Hughes,2,1,3,0,6840
3599.0,0,1,0,0,0,0
3604.0,0,1,2,0,0,0
3613.0,Sean O'Hanlon,1,0,0,0,90
3616.0,0,1,0,0,0,0
3620.0,Leon Osman,13,12,13,0,10980
3658.0,0,2,0,0,0,0
3661.0,0,1,0,0,0,0
3688.0,0,1,3,0,0,0
3698.0,Anton Ferdinand,1,0,5,0,3870
3707.0,Bernard Mendy,1,0,8,0,2790
3713.0,Massimo Maccarone,31,14,11,1,9360
3730.0,Kim Källström,5,8,16,0,6390
3750.0,0,2,2,0,0,0
3752.0,0,1,0,0,0,0
3753.0,Georgios Theodoridis,5,4,3,0,3510
3762.0,Peter Whittingham,3,8,3,0,3060
3771.0,Raúl Bravo,1,1,10,1,3780
3783.0,Sam Parkin,2,2,3,0,2610
3785.0,Scott Parker,2,5,9,0,5310
3791.0,Gary Caldwell,2,1,8,0,2250
3807.0,Richard Dunne,1,0,7,0,2070
3824.0,Gordon Greer,1,0,3,0,1800
3825.0,Jay McEveley,4,2,11,0,2160
3851.0,Jan-Ingwer Callsen-Bracker,8,3,19,0,9270
3852.0,0,2,0,0,0,0
3858.0,0,1,0,0,0,0
3869.0,Andrew Davies,6,7,18,1,8100
3875.0,Jermain Defoe,87,21,14,0,21420
3876.0,Joe Cole,8,5,4,0,4950
3878.0,Michael Carrick,5,10,20,0,16290
3881.0,Glen Johnson,4,10,17,0,14130
3890.0,Eduardo,6,2,1,0,2160
3899.0,0,1,1,0,0,0
3900.0,Henri Camara,12,2,4,0,5040
3914.0,Pascal Feindouno,1,0,0,0,900
3924.0,Didier Drogba,24,15,14,0,7560
3926.0,Marama Vahirua,5,4,1,0,2700
3929.0,0,1,1,0,0,0
3930.0,0,1,0,0,0,0
3942.0,Martin Lanig,5,2,8,0,3960
3947.0,Henrik Pedersen,1,0,0,0,900
3950.0,Kevin Nolan,18,10,18,2,9720
3955.0,0,1,0,0,0,0
